{ IngredientId = 1, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 75, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 76, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 77, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 78, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 79, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 80, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 81, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 82, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 83, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 84, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 85, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 86, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 87, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 88, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 89, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 90, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 91, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 92, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 93, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 94, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 95, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 96, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 97, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 98, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 99, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 100, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 101, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 102, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 103, OnHandQuantity = 2.721552, UnitCost = 0.00, Value = 0 }
{ IngredientId = 104, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 105, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 106, OnHandQuantity = 9.979024, UnitCost = 0.00, Value = 0 }
{ IngredientId = 107, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 108, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 109, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 110, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 111, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 112, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 113, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 114, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 115, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 116, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 117, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 118, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 119, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 120, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 121, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 122, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 123, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 124, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 125, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 126, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 127, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 128, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 129, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 130, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 131, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 132, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 133, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 134, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 135, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 136, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 137, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 138, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 139, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 140, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 141, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 142, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 143, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 144, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 145, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 146, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 147, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 148, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 149, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 150, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 151, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 152, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 153, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 154, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 155, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 156, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 157, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 158, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 159, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 160, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 161, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 162, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 163, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 164, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 165, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 166, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 167, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 168, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 169, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 170, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 171, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 172, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 173, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 174, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 175, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 176, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 177, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 178, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 179, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 180, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 181, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 182, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 183, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 184, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 185, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 186, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 187, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 188, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 189, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 190, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 191, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 192, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 193, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 194, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 195, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 196, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 197, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 198, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 199, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 200, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 201, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 202, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 203, OnHandQuantity = 0.453592, UnitCost = 0.00, Value = 0 }
{ IngredientId = 204, OnHandQuantity = 0.453592, UnitCost = 0.00, Value = 0 }
{ IngredientId = 205, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 206, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 207, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 208, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 209, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 210, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 211, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 212, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 213, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 214, OnHandQuantity = 0.226796, UnitCost = 0.00, Value = 0 }
{ IngredientId = 215, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 216, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 217, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 218, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 219, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 220, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 221, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 222, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 223, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 224, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 225, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 226, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 227, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 228, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 229, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 230, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 231, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 232, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 233, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 234, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 235, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 236, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 237, OnHandQuantity = 1.13398, UnitCost = 0.00, Value = 0 }
{ IngredientId = 238, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 239, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 240, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 241, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 242, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 243, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 244, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 245, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 246, OnHandQuantity = 0.453592, UnitCost = 0.00, Value = 0 }
{ IngredientId = 247, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 248, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 249, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 250, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 251, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 252, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 253, OnHandQuantity = 0.453592, UnitCost = 0.00, Value = 0 }
{ IngredientId = 254, OnHandQuantity = 0.226796, UnitCost = 0.00, Value = 0 }
{ IngredientId = 255, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 256, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 257, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 258, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 259, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 260, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 261, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 262, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 263, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 264, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 265, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 266, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 267, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 268, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 269, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 270, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 271, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 272, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 273, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 274, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 275, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 276, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 277, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 278, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 279, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 280, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 281, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 282, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 283, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 284, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 285, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 286, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 287, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 288, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 289, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 290, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 291, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 292, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 293, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 294, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 295, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 296, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 297, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 298, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 299, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 300, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 301, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 302, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 303, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 304, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 305, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 306, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 307, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 308, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 309, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 310, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 311, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 312, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 313, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 314, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 315, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 316, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 317, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 318, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 319, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 320, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 321, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 322, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 323, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 324, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 325, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 326, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 327, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 328, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 329, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 330, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
{ IngredientId = 331, OnHandQuantity = 0, UnitCost = 0.00, Value = 0 }
